date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:07:38	101161/101161	---M-Z	200	added ('OK')	application/x-javascript	etag:%22587750913%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/rail-middle-extra/rail-middle-extra2.js?_dc=1368811006	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/rail-middle-extra/rail-middle-extra2067b.js	(from )
19:07:39	206957/206957	---MCZ	200	added ('OK')	text/html	etag:9065b4db23407b1a10e03fb2287df876	http://www.hngnews.com/sun_prairie_star/community/features/article_adfde35c-c489-11e2-8a4e-0019bb30f31a.html	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/www.hngnews.com/sun_prairie_star/community/features/article_adfde35c-c489-11e2-8a4e-0019bb30f31a.html	(from )
19:07:39	100235/100235	---M-Z	200	added ('OK')	application/x-javascript	etag:%22588892801%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/rail-middle-extra/rail-middle-extra3.js?_dc=1368811007	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/rail-middle-extra/rail-middle-extra34ae1.js	(from )
19:07:39	100235/100235	---M-Z	200	added ('OK')	application/x-javascript	etag:%22588892801%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/rail-middle-extra/rail-middle-extra4.js?_dc=1368811007	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/rail-middle-extra/rail-middle-extra44ae1.js	(from )
19:07:39	100235/100235	---M-Z	200	added ('OK')	application/x-javascript	etag:%22588892801%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/rail-middle-extra/rail-middle-extra5.js?_dc=1368811008	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/rail-middle-extra/rail-middle-extra53358.js	(from )
19:07:40	100235/100235	---M-Z	200	added ('OK')	application/x-javascript	etag:%22588892801%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/rail-middle-extra/rail-middle-extra6.js?_dc=1368811008	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/rail-middle-extra/rail-middle-extra63358.js	(from )
19:07:40	100235/100235	---M-Z	200	added ('OK')	application/x-javascript	etag:%22588892801%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/rail-middle-extra/rail-middle-extra7.js?_dc=1368811009	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/rail-middle-extra/rail-middle-extra77d0e.js	(from )
19:07:41	100235/100235	---M-Z	200	added ('OK')	application/x-javascript	etag:%22588892801%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/rail-middle-extra/rail-middle-extra8.js?_dc=1368811009	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/rail-middle-extra/rail-middle-extra87d0e.js	(from )
19:07:42	100324/100324	---M-Z	200	added ('OK')	application/x-javascript	etag:%22588861089%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/rail-middle-extra/rail-middle-extra10.js?_dc=1368811006	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/rail-middle-extra/rail-middle-extra10067b.js	(from )
19:07:42	101137/101137	---M-Z	200	added ('OK')	application/x-javascript	etag:%22587745985%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/rail-middle-extra/rail-middle-extra9.js?_dc=1368811010	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/rail-middle-extra/rail-middle-extra95365.js	(from )
19:07:42	2561/2561	---M-Z	200	added ('OK')	application/x-javascript	etag:%222fe8c1bf141ce1:0%22	http://affiliates.eblastengine.com/Javascript/Widgets.js?v=6	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/affiliates.eblastengine.com/Javascript/Widgets1bce.js	(from )
19:07:43	1071/1071	---M-Z	200	added ('OK')	application/x-javascript	etag:%2250911757%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/rail-bottom/rail-bottom1.js?_dc=1359067025	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/rail-bottom/rail-bottom16fea.js	(from )
19:07:43	1077/1077	---M-Z	200	added ('OK')	application/x-javascript	etag:%2250911949%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/rail-bottom/rail-bottom2.js?_dc=1359067025	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/rail-bottom/rail-bottom26fea.js	(from )
19:07:44	2994/2994	---M-Z	200	added ('OK')	application/x-javascript	etag:%2254289069%22	http://bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/leaderboard-bottom/leaderboard-bottom1.js?_dc=1362173205	L:/Clients/Myriad%20Communications/website%202007/flash%20design/news_stories/sun_prairie_star/sun_prairie_star_article/bloximages.newyork1.vip.townnews.com/hngnews.com/content/tncms/ads/leaderboard-bottom/leaderboard-bottom1035d.js	(from )
